symbol,date,adj_open,adj_high,adj_low,adj_close,volume,oi,expiry
DMART,2024-11-29,3725.0,3764.7,3600.0,3727.4,479100.0,294000.0,2024-12-26
DMART,2024-12-02,3738.25,3738.25,3643.5,3703.5,303450.0,435300.0,2024-12-26
DMART,2024-12-03,3698.25,3874.7,3675.05,3848.45,756600.0,658950.0,2024-12-26
DMART,2024-12-04,3859.15,3907.0,3815.3,3858.2,599700.0,760200.0,2024-12-26
DMART,2024-12-05,3858.25,3895.0,3830.15,3881.0,276000.0,817950.0,2024-12-26
DMART,2024-12-06,3879.95,3935.0,3788.8,3806.9,762150.0,1104000.0,2024-12-26
DMART,2024-12-09,3818.7,3835.45,3756.9,3823.45,925950.0,1402500.0,2024-12-26
DMART,2024-12-10,3810.1,3855.0,3779.25,3816.0,397950.0,1417350.0,2024-12-26
DMART,2024-12-11,3719.0,3761.95,3680.6,3718.6,1389000.0,1752750.0,2024-12-26
DMART,2024-12-12,3735.7,3739.95,3686.25,3694.55,400650.0,1841100.0,2024-12-26
DMART,2024-12-13,3693.6,3693.6,3607.0,3665.75,601050.0,1887900.0,2024-12-26
DMART,2024-12-16,3666.0,3684.0,3624.7,3637.9,276150.0,1963950.0,2024-12-26
DMART,2024-12-17,3618.75,3634.1,3535.4,3551.55,512550.0,2061750.0,2024-12-26
DMART,2024-12-18,3559.25,3571.3,3502.3,3521.2,714750.0,2166450.0,2024-12-26
DMART,2024-12-19,3489.95,3533.9,3462.6,3508.5,574350.0,2017350.0,2024-12-26
DMART,2024-12-20,3490.95,3519.95,3408.35,3419.0,1032900.0,1792200.0,2024-12-26
DMART,2024-12-23,3419.0,3458.85,3404.6,3439.25,792000.0,1474650.0,2025-01-30
DMART,2024-12-24,3460.95,3520.6,3445.5,3453.5,1104150.0,2023800.0,2025-01-30
DMART,2024-12-26,3463.7,3502.25,3430.5499999999997,3486.3999999999996,818400.0,2287650.0,2025-01-30
DMART,2024-12-27,3465.0,3543.7999999999997,3465.0,3533.95,605700.0,2248650.0,2025-01-30
DMART,2024-12-30,3543.7999999999997,3559.8999999999996,3466.5,3506.35,1451850.0,2616900.0,2025-01-30
DMART,2024-12-31,3494.5499999999997,3539.1499999999996,3467.1499999999996,3524.5499999999997,469050.0,2625600.0,2025-01-30
DMART,2025-01-01,3519.95,3543.95,3497.95,3519.5,317100.0,2714400.0,2025-01-30
DMART,2025-01-02,3508.3999999999996,3599.8999999999996,3508.3999999999996,3582.0,683100.0,2893200.0,2025-01-30
DMART,2025-01-03,3794.95,4143.95,3781.6,4010.5,5726100.0,3012300.0,2025-01-30
DMART,2025-01-06,4011.3999999999996,4044.2999999999997,3905.0,3918.7,1254900.0,3030300.0,2025-01-30
DMART,2025-01-07,3897.0,3945.6,3800.5,3812.45,671400.0,3078600.0,2025-01-30
DMART,2025-01-08,3813.0,3859.7,3741.5499999999997,3821.7999999999997,919200.0,3184050.0,2025-01-30
DMART,2025-01-09,3840.5499999999997,3840.5499999999997,3761.5,3786.2,706350.0,3309150.0,2025-01-30
DMART,2025-01-10,3784.1,3799.2999999999997,3628.35,3645.0,2443650.0,3653250.0,2025-01-30
DMART,2025-01-13,3460.1,3623.95,3449.95,3487.2,3532650.0,3731700.0,2025-01-30
DMART,2025-01-14,3514.75,3514.75,3415.0,3454.6499999999996,886500.0,3732900.0,2025-01-30
DMART,2025-01-15,3457.6,3558.95,3454.8999999999996,3546.85,976350.0,3813750.0,2025-01-30
DMART,2025-01-16,3563.1,3615.85,3548.3999999999996,3570.7,600450.0,3731850.0,2025-01-30
DMART,2025-01-17,3570.95,3623.95,3554.85,3596.45,437850.0,3728550.0,2025-01-30
DMART,2025-01-20,3606.85,3614.7999999999997,3576.2999999999997,3591.95,357750.0,3715500.0,2025-01-30
DMART,2025-01-21,3565.5499999999997,3600.2999999999997,3516.85,3558.45,426750.0,3641400.0,2025-01-30
DMART,2025-01-22,3539.6499999999996,3594.5,3499.2999999999997,3535.75,463350.0,3656700.0,2025-01-30
DMART,2025-01-23,3541.85,3579.95,3508.95,3563.6,367200.0,3640500.0,2025-01-30
DMART,2025-01-24,3530.6,3574.6499999999996,3498.6499999999996,3543.7,479250.0,3698100.0,2025-01-30
DMART,2025-01-27,3537.75,3539.1499999999996,3470.25,3493.85,1450650.0,3021450.0,2025-01-30
DMART,2025-01-28,3493.85,3546.9,3457.4,3506.35,2137200.0,2619900.0,2025-02-27
DMART,2025-01-29,3478.9,3534.35,3478.9,3529.4,1307250.0,3384150.0,2025-02-27
DMART,2025-01-30,3465.8,3552.25,3465.8,3537.9500000000003,678750.0,3551250.0,2025-02-27
DMART,2025-01-31,3583.75,3667.15,3533.2000000000003,3624.15,582000.0,3503550.0,2025-02-27
DMART,2025-02-03,3944.05,4056.85,3825.4,3898.35,2352750.0,4505400.0,2025-02-27
DMART,2025-02-04,3904.35,3954.65,3839.75,3883.35,775950.0,4616250.0,2025-02-27
DMART,2025-02-05,3878.65,3968.1,3797.9500000000003,3824.2000000000003,689550.0,4608900.0,2025-02-27
DMART,2025-02-06,3834.4500000000003,3843.85,3679.75,3709.1,595350.0,4658700.0,2025-02-27
DMART,2025-02-07,3730.3,3730.3,3655.1,3693.9,292500.0,4667100.0,2025-02-27
DMART,2025-02-10,3717.6,3761.9,3647.8,3670.75,539400.0,4732950.0,2025-02-27
DMART,2025-02-11,3691.7000000000003,3699.5,3610.55,3632.6,249300.0,4707300.0,2025-02-27
DMART,2025-02-12,3619.1,3649.6,3533.9,3638.85,653400.0,4789350.0,2025-02-27
DMART,2025-02-13,3591.55,3670.4,3591.55,3642.6,339750.0,4720950.0,2025-02-27
DMART,2025-02-14,3633.0,3704.9,3589.75,3634.1,452550.0,4647450.0,2025-02-27
DMART,2025-02-17,3579.55,3633.75,3549.4500000000003,3579.8,340650.0,4669050.0,2025-02-27
DMART,2025-02-18,3597.75,3658.75,3537.9,3629.15,342000.0,4643850.0,2025-02-27
DMART,2025-02-19,3580.0,3668.9,3576.25,3641.5,444000.0,4603350.0,2025-02-27
DMART,2025-02-20,3603.65,3660.9,3568.9,3580.6,466200.0,4569000.0,2025-02-27
DMART,2025-02-21,3572.4500000000003,3609.9,3515.3,3544.1,1167000.0,3997500.0,2025-02-27
DMART,2025-02-24,3529.65,3566.25,3509.9,3527.2000000000003,1525950.0,2972850.0,2025-02-27
DMART,2025-02-25,3527.2000000000003,3534.7000000000003,3478.1000000000004,3494.6500000000005,2434050.0,4276800.0,2025-03-27
DMART,2025-02-27,3491.8500000000004,3518.6500000000005,3457.1500000000005,3469.4500000000003,622800.0,4515000.0,2025-03-27
DMART,2025-02-28,3486.1000000000004,3492.1000000000004,3353.3,3367.3500000000004,426900.0,4560600.0,2025-03-27
DMART,2025-03-03,3343.5000000000005,3433.0000000000005,3297.7500000000005,3415.2500000000005,455850.0,4575450.0,2025-03-27
DMART,2025-03-04,3367.4000000000005,3423.2000000000003,3363.1000000000004,3370.4500000000003,308400.0,4578900.0,2025-03-27
DMART,2025-03-05,3372.1000000000004,3465.6000000000004,3367.8500000000004,3436.0000000000005,423150.0,4623900.0,2025-03-27
DMART,2025-03-06,3447.05,3512.1000000000004,3437.05,3500.3,709800.0,4637100.0,2025-03-27
DMART,2025-03-07,3517.1000000000004,3595.9500000000003,3509.1000000000004,3551.0000000000005,937200.0,4730550.0,2025-03-27
DMART,2025-03-10,3517.2000000000003,3571.6500000000005,3497.1500000000005,3548.8500000000004,589500.0,4791450.0,2025-03-27
DMART,2025-03-11,3517.2000000000003,3593.1000000000004,3502.9500000000003,3584.3500000000004,448350.0,4731450.0,2025-03-27
DMART,2025-03-12,3587.1500000000005,3635.5000000000005,3569.5000000000005,3622.6000000000004,440700.0,4750650.0,2025-03-27
DMART,2025-03-13,3622.0000000000005,3824.05,3607.4500000000003,3739.4000000000005,2499150.0,4967850.0,2025-03-27
DMART,2025-03-17,3692.3,3778.2000000000003,3692.3,3772.2500000000005,469350.0,4822350.0,2025-03-27
DMART,2025-03-18,3804.6000000000004,3824.1000000000004,3730.6000000000004,3779.9500000000003,437400.0,4744350.0,2025-03-27
DMART,2025-03-19,3770.1000000000004,3805.6500000000005,3737.1500000000005,3789.3,453450.0,4844400.0,2025-03-27
DMART,2025-03-20,3818.7500000000005,3847.2000000000003,3775.1000000000004,3821.8500000000004,415650.0,4803000.0,2025-03-27
DMART,2025-03-21,3843.8500000000004,3894.1000000000004,3807.9500000000003,3839.8,568350.0,4651050.0,2025-03-27
DMART,2025-03-24,3815.1500000000005,3895.05,3815.1500000000005,3851.0000000000005,1393650.0,4170000.0,2025-03-27
DMART,2025-03-25,3897.0000000000005,3977.05,3825.1000000000004,3943.0000000000005,1523400.0,3235950.0,2025-03-27
