symbol,date,adj_open,adj_high,adj_low,adj_close,volume,oi,expiry
TMPV,2025-10-24,408.35,410.45,401.9,404.8,17738400.0,29321600.0,2025-11-25
TMPV,2025-10-28,411.15,416.1,410.55,413.85,13132800.0,40843200.0,2025-11-25
TMPV,2025-10-29,413.5,417.85,409.4,414.25,7948000.0,40939200.0,2025-11-25
TMPV,2025-10-30,415.0,417.45,409.75,413.65,6593600.0,41118400.0,2025-11-25
TMPV,2025-10-31,414.0,419.9,410.2,412.15,9847200.0,40633600.0,2025-11-25
TMPV,2025-11-03,414.85,418.8,410.8,418.1,10856800.0,42740000.0,2025-11-25
TMPV,2025-11-04,418.15,418.85,404.7,406.35,13180800.0,45910400.0,2025-11-25
TMPV,2025-11-06,407.0,410.6,405.0,407.75,6527200.0,46021600.0,2025-11-25
TMPV,2025-11-07,406.2,407.3,401.25,405.65,6756800.0,46317600.0,2025-11-25
TMPV,2025-11-10,405.75,414.5,405.75,412.1,7950400.0,45881600.0,2025-11-25
TMPV,2025-11-11,413.05,414.2,402.15,407.45,12056800.0,49126400.0,2025-11-25
TMPV,2025-11-12,408.05,411.25,403.4,404.05,10917600.0,50979200.0,2025-11-25
TMPV,2025-11-13,404.25,404.75,399.0,399.6,11414400.0,52183200.0,2025-11-25
TMPV,2025-11-14,399.5,400.5,389.0,392.85,15501600.0,53504000.0,2025-11-25
TMPV,2025-11-17,378.9,379.9,363.6,372.4,33104800.0,65359200.0,2025-11-25
TMPV,2025-11-18,372.9,373.65,369.05,371.15,13723200.0,69061600.0,2025-11-25
TMPV,2025-11-19,370.0,371.85,361.05,361.7,13441600.0,71700800.0,2025-11-25
TMPV,2025-11-20,362.5,364.6,360.45,360.9,35547200.0,53816000.0,2025-11-25
TMPV,2025-11-21,360.9,366.9,360.4,364.5,29571200.0,54233600.0,2025-12-30
TMPV,2025-11-24,365.34999999999997,365.34999999999997,358.4,360.7,27520000.0,70083200.0,2025-12-30
TMPV,2025-11-25,361.09999999999997,361.09999999999997,354.9,355.4,23714400.0,78265600.0,2025-12-30
TMPV,2025-11-26,356.54999999999995,365.7,356.54999999999995,362.2,19760800.0,79021600.0,2025-12-30
TMPV,2025-11-27,364.4,365.29999999999995,359.25,360.79999999999995,9640800.0,80548000.0,2025-12-30
TMPV,2025-11-28,361.5,362.79999999999995,357.9,359.9,10456800.0,81496800.0,2025-12-30
TMPV,2025-12-01,361.4,367.65,360.95,366.0,16034400.0,82208000.0,2025-12-30
TMPV,2025-12-02,366.09999999999997,366.09999999999997,362.0,363.75,7385600.0,81545600.0,2025-12-30
TMPV,2025-12-03,363.2,363.79999999999995,355.79999999999995,358.7,12806400.0,83548000.0,2025-12-30
TMPV,2025-12-04,359.2,362.09999999999997,356.84999999999997,359.0,8752000.0,82892800.0,2025-12-30
TMPV,2025-12-05,357.65,359.09999999999997,354.79999999999995,356.04999999999995,7117600.0,83261600.0,2025-12-30
