symbol,date,adj_open,adj_high,adj_low,adj_close,volume,oi,expiry
HUDCO,2024-11-29,229.22,243.98,223.4,240.43,11232600.0,5337425.0,2024-12-26
HUDCO,2024-12-02,241.69,248.78,238.1,239.62,8218325.0,7544175.0,2024-12-26
HUDCO,2024-12-03,239.63,241.5,235.33,236.61,2640825.0,8562675.0,2024-12-26
HUDCO,2024-12-04,236.99,244.3,236.59,243.46,6906400.0,10686975.0,2024-12-26
HUDCO,2024-12-05,244.12,246.94,238.58,244.94,7391400.0,10733050.0,2024-12-26
HUDCO,2024-12-06,245.01,250.8,242.35,248.33,8429300.0,11031325.0,2024-12-26
HUDCO,2024-12-09,248.99,252.32,245.16,248.61,4437750.0,11339300.0,2024-12-26
HUDCO,2024-12-10,247.89,256.81,245.44,255.33,10682125.0,13051350.0,2024-12-26
HUDCO,2024-12-11,255.89,256.62,252.42,253.53,6038250.0,13890400.0,2024-12-26
HUDCO,2024-12-12,253.98,254.0,245.18,248.77,4753000.0,13446625.0,2024-12-26
HUDCO,2024-12-13,245.69,246.56,238.4,245.79,6229825.0,12704575.0,2024-12-26
HUDCO,2024-12-16,244.75,259.8,244.75,258.89,12738525.0,14666400.0,2024-12-26
HUDCO,2024-12-17,260.01,262.89,255.63,257.03,11487225.0,14782800.0,2024-12-26
HUDCO,2024-12-18,255.21,257.0,246.16,248.27,5924275.0,13223525.0,2024-12-26
HUDCO,2024-12-19,240.99,248.89,239.77,245.53,4074000.0,12491175.0,2024-12-26
HUDCO,2024-12-20,245.17,249.62,240.54,241.43,7439900.0,10880975.0,2024-12-26
HUDCO,2024-12-23,243.79,243.79,236.38,237.49,7730900.0,6986425.0,2024-12-26
HUDCO,2024-12-24,237.49,237.51,230.64,231.8,6314700.0,8572375.0,2025-01-30
HUDCO,2024-12-26,233.49,234.14,225.16,226.97,9673325.0,12857350.0,2025-01-30
HUDCO,2024-12-27,229.7,232.39,225.94,226.39,2597175.0,12840375.0,2025-01-30
HUDCO,2024-12-30,226.35999999999999,230.41,224.0,225.67,3918800.0,13252625.0,2025-01-30
HUDCO,2024-12-31,224.64,235.13,224.26,233.67,9282900.0,14140175.0,2025-01-30
HUDCO,2025-01-01,234.05,238.67,233.35999999999999,237.47,5533850.0,14108650.0,2025-01-30
HUDCO,2025-01-02,238.03,243.32999999999998,237.19,241.79,8288650.0,14770675.0,2025-01-30
HUDCO,2025-01-03,242.53,253.84,241.60999999999999,245.63,12270500.0,17215075.0,2025-01-30
HUDCO,2025-01-06,247.38,252.04,235.95,238.4,13039225.0,17433325.0,2025-01-30
HUDCO,2025-01-07,239.48,243.44,235.94,238.82999999999998,7163450.0,18323300.0,2025-01-30
HUDCO,2025-01-08,239.03,239.73,230.38,237.37,6346225.0,18691900.0,2025-01-30
HUDCO,2025-01-09,234.46,236.35999999999999,225.14,225.75,5798175.0,18493050.0,2025-01-30
HUDCO,2025-01-10,224.94,224.97,211.63,212.54,9489025.0,18679775.0,2025-01-30
HUDCO,2025-01-13,210.65,213.25,198.84,201.60999999999999,10010400.0,18534275.0,2025-01-30
HUDCO,2025-01-14,206.73,213.32,203.49,212.4,7888525.0,18131725.0,2025-01-30
HUDCO,2025-01-15,213.93,216.4,209.46,212.12,11790350.0,19426675.0,2025-01-30
HUDCO,2025-01-16,214.44,224.89,214.44,221.82999999999998,7694525.0,19329675.0,2025-01-30
HUDCO,2025-01-17,220.94,232.64,218.94,231.10999999999999,9234400.0,19965025.0,2025-01-30
HUDCO,2025-01-20,231.93,235.79,228.12,231.79,5092500.0,20144475.0,2025-01-30
HUDCO,2025-01-21,233.32999999999998,233.89,224.44,226.32999999999998,7231350.0,19780725.0,2025-01-30
HUDCO,2025-01-22,226.23,230.24,213.24,223.3,28231850.0,21129025.0,2025-01-30
HUDCO,2025-01-23,224.43,226.31,211.55,217.12,28493750.0,22545225.0,2025-01-30
HUDCO,2025-01-24,218.94,221.44,213.17,215.55,10529350.0,18517300.0,2025-01-30
HUDCO,2025-01-27,214.9,214.9,200.54,205.13,15869200.0,14683375.0,2025-01-30
HUDCO,2025-01-28,205.13,210.19,197.97,204.84,11921300.0,10502675.0,2025-02-27
HUDCO,2025-01-29,205.24,212.24,202.45000000000002,210.58,9913400.0,12888875.0,2025-02-27
HUDCO,2025-01-30,210.78,217.22,210.34,214.66,11412050.0,15486050.0,2025-02-27
HUDCO,2025-01-31,215.66,229.19,212.66,228.32000000000002,14326900.0,16754325.0,2025-02-27
HUDCO,2025-02-03,211.14000000000001,211.29000000000002,190.75,195.63,34958800.0,25726825.0,2025-02-27
HUDCO,2025-02-04,196.45000000000002,203.79000000000002,196.45000000000002,203.06,14275975.0,22530675.0,2025-02-27
HUDCO,2025-02-05,202.79000000000002,211.24,202.79000000000002,207.9,9105875.0,21550975.0,2025-02-27
HUDCO,2025-02-06,208.27,208.88,202.5,203.97,5676925.0,21597050.0,2025-02-27
HUDCO,2025-02-07,204.02,208.52,201.51000000000002,204.93,9559350.0,22111150.0,2025-02-27
