symbol,date,adj_open,adj_high,adj_low,adj_close,volume,oi,expiry
FORTIS,2025-05-30,724.8,724.8,708.0,711.1,444850.0,199175.0,2025-06-26
FORTIS,2025-06-02,711.1,739.6,704.25,725.15,1683300.0,1126850.0,2025-06-26
FORTIS,2025-06-03,728.4,744.0,728.4,733.85,1080350.0,1394225.0,2025-06-26
FORTIS,2025-06-04,735.25,749.0,727.6,743.1,1255500.0,2004150.0,2025-06-26
FORTIS,2025-06-05,748.75,761.0,740.0,759.1,2331200.0,2986850.0,2025-06-26
FORTIS,2025-06-06,762.0,772.1,758.1,767.3,1959975.0,3571200.0,2025-06-26
FORTIS,2025-06-09,768.9,771.9,757.15,771.0,1145450.0,3933125.0,2025-06-26
FORTIS,2025-06-10,771.25,784.45,761.9,782.25,1302000.0,4200500.0,2025-06-26
FORTIS,2025-06-11,779.15,780.7,763.95,768.65,1153200.0,4404325.0,2025-06-26
FORTIS,2025-06-12,765.1,777.5,760.75,762.8,1095850.0,4666275.0,2025-06-26
FORTIS,2025-06-13,751.35,759.0,742.35,756.7,1077250.0,4899550.0,2025-06-26
FORTIS,2025-06-16,761.25,769.4,749.2,767.7,1002850.0,5104150.0,2025-06-26
FORTIS,2025-06-17,766.6,774.45,757.5,763.85,1012150.0,5258375.0,2025-06-26
FORTIS,2025-06-18,761.8,771.85,758.0,760.8,500650.0,5288600.0,2025-06-26
FORTIS,2025-06-19,758.1,764.55,745.6,748.7,530875.0,5304100.0,2025-06-26
FORTIS,2025-06-20,754.4,759.25,746.7,757.0,776550.0,5215750.0,2025-06-26
FORTIS,2025-06-23,752.4,768.55,749.0,756.05,1880150.0,5248300.0,2025-06-26
FORTIS,2025-06-24,763.2,769.75,751.6,765.75,2106450.0,4770125.0,2025-06-26
FORTIS,2025-06-25,765.75,779.15,761.15,776.35,4310550.0,6426300.0,2025-07-31
FORTIS,2025-06-26,776.35,790.05,775.6,787.8,2502475.0,6849450.0,2025-07-31
FORTIS,2025-06-27,787.9499999999999,799.85,777.4,780.65,1877825.0,7370250.0,2025-07-31
FORTIS,2025-06-30,781.1999999999999,792.85,774.4499999999999,789.3,778875.0,7412875.0,2025-07-31
FORTIS,2025-07-01,786.35,787.85,768.15,769.75,1079575.0,7630650.0,2025-07-31
FORTIS,2025-07-02,767.15,790.15,763.6,788.0,1743750.0,7989475.0,2025-07-31
FORTIS,2025-07-03,787.4,796.05,782.15,788.8,924575.0,8066200.0,2025-07-31
FORTIS,2025-07-04,788.65,801.9499999999999,788.15,799.9,1092750.0,8166950.0,2025-07-31
FORTIS,2025-07-07,802.15,806.85,790.65,799.5,857150.0,8133625.0,2025-07-31
FORTIS,2025-07-08,790.6999999999999,806.1999999999999,780.1,785.0,1236900.0,7955375.0,2025-07-31
FORTIS,2025-07-09,781.15,792.15,773.65,776.85,1126850.0,7954600.0,2025-07-31
FORTIS,2025-07-10,773.8,778.5,759.65,766.55,1718175.0,7956150.0,2025-07-31
FORTIS,2025-07-11,772.3,772.3,748.8,756.0,1257050.0,7639950.0,2025-07-31
FORTIS,2025-07-14,760.9499999999999,781.15,756.85,776.35,1524425.0,7891825.0,2025-07-31
FORTIS,2025-07-15,777.35,800.4499999999999,777.35,791.25,2470700.0,7944525.0,2025-07-31
FORTIS,2025-07-16,786.15,801.9499999999999,785.25,788.1999999999999,1180325.0,7999550.0,2025-07-31
FORTIS,2025-07-17,791.55,805.15,789.5,802.4,1089650.0,8008850.0,2025-07-31
FORTIS,2025-07-18,798.1999999999999,806.55,788.3,790.05,1451575.0,7793400.0,2025-07-31
FORTIS,2025-07-21,790.55,803.15,783.1,795.35,2052975.0,8235150.0,2025-07-31
FORTIS,2025-07-22,799.05,810.65,787.75,801.4,2238975.0,8515700.0,2025-07-31
FORTIS,2025-07-23,806.65,824.1999999999999,800.15,817.85,3609950.0,8848950.0,2025-07-31
FORTIS,2025-07-24,822.85,842.05,820.4499999999999,837.9,3555700.0,8662950.0,2025-07-31
FORTIS,2025-07-25,834.0,841.9,824.4,838.1999999999999,1801100.0,8810200.0,2025-07-31
FORTIS,2025-07-28,838.65,846.6,831.8,837.0,2965925.0,8571500.0,2025-07-31
FORTIS,2025-07-29,837.1999999999999,845.05,830.6,841.65,4049375.0,7684900.0,2025-07-31
FORTIS,2025-07-30,841.65,841.65,826.15,834.05,3503000.0,8993100.0,2025-08-28
FORTIS,2025-07-31,831.75,849.0999999999999,821.1999999999999,847.3,3237950.0,9914575.0,2025-08-28
FORTIS,2025-08-01,847.6999999999999,855.8499999999999,838.6999999999999,847.0,1935950.0,9291475.0,2025-08-28
FORTIS,2025-08-04,848.0,854.75,838.15,849.9,941625.0,9079125.0,2025-08-28
FORTIS,2025-08-05,850.55,861.05,842.0,857.4499999999999,973400.0,9164375.0,2025-08-28
FORTIS,2025-08-06,855.9499999999999,856.15,836.4,846.05,1411275.0,9212425.0,2025-08-28
FORTIS,2025-08-07,866.05,892.55,861.9499999999999,874.55,6964150.0,10252475.0,2025-08-28
FORTIS,2025-08-08,876.8499999999999,892.05,868.1999999999999,884.9,2231225.0,10465600.0,2025-08-28
FORTIS,2025-08-11,884.9,912.6999999999999,881.05,910.4499999999999,2287025.0,10721350.0,2025-08-28
FORTIS,2025-08-12,912.9,922.8,905.3499999999999,918.9,1972375.0,10875575.0,2025-08-28
FORTIS,2025-08-13,921.5,937.8,916.0999999999999,934.65,2784575.0,10722900.0,2025-08-28
FORTIS,2025-08-14,934.0,937.75,916.5,918.9499999999999,1516675.0,9980450.0,2025-08-28
FORTIS,2025-08-18,923.75,932.8499999999999,921.4499999999999,924.8499999999999,1291150.0,9846375.0,2025-08-28
FORTIS,2025-08-19,927.5999999999999,937.6999999999999,923.05,935.75,1146225.0,9616975.0,2025-08-28
FORTIS,2025-08-20,935.75,953.05,935.3499999999999,950.75,2028950.0,9759575.0,2025-08-28
FORTIS,2025-08-21,954.8499999999999,956.5999999999999,933.65,934.9499999999999,1776300.0,9673550.0,2025-08-28
FORTIS,2025-08-22,930.1999999999999,932.05,920.3499999999999,923.05,3131000.0,9031075.0,2025-08-28
FORTIS,2025-08-25,931.9,931.9,899.0999999999999,901.0999999999999,6097700.0,10380350.0,2025-08-28
FORTIS,2025-08-26,901.0999999999999,905.1499999999999,889.7499999999999,898.7499999999999,4187325.0,8522675.0,2025-09-30
FORTIS,2025-08-28,903.3999999999999,908.7499999999999,891.4499999999998,893.3999999999999,2863625.0,9528625.0,2025-09-30
FORTIS,2025-08-29,897.8499999999999,902.5499999999998,886.7999999999998,894.9999999999999,1282625.0,9570475.0,2025-09-30
FORTIS,2025-09-01,895.9499999999998,911.1499999999999,895.9499999999998,908.9999999999999,1281075.0,9965725.0,2025-09-30
FORTIS,2025-09-02,911.5999999999999,921.7999999999998,903.7499999999999,911.7999999999998,1957650.0,10210625.0,2025-09-30
FORTIS,2025-09-03,916.3999999999999,941.0499999999998,913.7999999999998,939.2499999999999,2046000.0,10387325.0,2025-09-30
FORTIS,2025-09-04,940.3999999999999,942.3499999999999,927.3999999999999,930.7499999999999,1199700.0,10303625.0,2025-09-30
FORTIS,2025-09-05,932.5499999999998,939.9999999999999,921.9999999999999,928.6999999999998,1119875.0,10149400.0,2025-09-30
FORTIS,2025-09-08,924.6999999999998,930.4999999999999,911.0999999999999,925.4999999999999,1257050.0,10091275.0,2025-09-30
FORTIS,2025-09-09,922.6499999999999,934.8999999999999,917.7499999999999,931.0999999999999,997425.0,10219925.0,2025-09-30
FORTIS,2025-09-10,932.2499999999999,949.3999999999999,928.3499999999999,947.7999999999998,1825900.0,10095150.0,2025-09-30
FORTIS,2025-09-11,952.2999999999998,956.1999999999998,939.4499999999998,947.1499999999999,1607350.0,9598375.0,2025-09-30
