symbol,date,adj_open,adj_high,adj_low,adj_close,volume,oi,expiry
NUVAMA,2025-08-01,7202.0,7214.5,6838.5,6917.5,61125.0,35775.0,2025-08-28
NUVAMA,2025-08-04,6917.5,6935.5,6750.0,6874.0,69600.0,65550.0,2025-08-28
NUVAMA,2025-08-05,6949.5,7188.5,6882.0,6977.0,145425.0,93150.0,2025-08-28
NUVAMA,2025-08-06,6901.0,7029.0,6816.5,6966.5,129075.0,94200.0,2025-08-28
NUVAMA,2025-08-07,7003.0,7089.0,6868.5,6979.5,71850.0,110775.0,2025-08-28
NUVAMA,2025-08-08,6923.5,6962.0,6716.5,6754.5,99825.0,97275.0,2025-08-28
NUVAMA,2025-08-11,6800.0,6907.0,6736.0,6851.0,53850.0,103425.0,2025-08-28
NUVAMA,2025-08-12,6878.0,6994.0,6812.0,6890.0,95625.0,127575.0,2025-08-28
NUVAMA,2025-08-13,6953.5,7029.0,6850.0,6961.0,107625.0,154950.0,2025-08-28
NUVAMA,2025-08-14,6989.0,7159.5,6776.0,6972.0,300750.0,176850.0,2025-08-28
NUVAMA,2025-08-18,7046.0,7077.5,6783.5,6908.0,149250.0,191175.0,2025-08-28
NUVAMA,2025-08-19,6954.0,6954.0,6698.5,6796.0,156150.0,213675.0,2025-08-28
NUVAMA,2025-08-20,6814.5,6882.0,6674.0,6857.0,152925.0,208350.0,2025-08-28
NUVAMA,2025-08-21,6848.5,7148.0,6814.0,6889.0,469650.0,204600.0,2025-08-28
NUVAMA,2025-08-22,6922.0,7038.0,6881.5,6959.0,130725.0,117375.0,2025-08-28
NUVAMA,2025-08-25,7015.5,7015.5,6848.0,6873.0,105675.0,91575.0,2025-08-28
NUVAMA,2025-08-26,6873.0,6911.0,6671.0,6722.5,153375.0,106950.0,2025-09-30
NUVAMA,2025-08-28,6773.0,6773.0,6571.5,6609.5,118725.0,121650.0,2025-09-30
NUVAMA,2025-08-29,6655.0,6657.5,6433.0,6447.5,110400.0,140775.0,2025-09-30
NUVAMA,2025-09-01,6448.0,6551.0,6420.0,6511.5,87075.0,168000.0,2025-09-30
NUVAMA,2025-09-02,6498.0,6566.0,6321.5,6507.0,78675.0,175425.0,2025-09-30
NUVAMA,2025-09-03,6522.5,6637.0,6505.0,6577.5,77325.0,174600.0,2025-09-30
NUVAMA,2025-09-04,6621.0,6671.5,6492.5,6504.0,94875.0,178650.0,2025-09-30
NUVAMA,2025-09-05,6535.5,6689.5,6472.0,6568.0,139350.0,184200.0,2025-09-30
NUVAMA,2025-09-08,6616.5,6616.5,6472.5,6486.0,52275.0,188775.0,2025-09-30
NUVAMA,2025-09-09,6521.5,6521.5,6403.5,6430.0,59175.0,202650.0,2025-09-30
NUVAMA,2025-09-10,6472.5,6551.0,6419.0,6438.0,86100.0,213600.0,2025-09-30
NUVAMA,2025-09-11,6451.0,6451.0,6186.0,6204.0,166350.0,250350.0,2025-09-30
NUVAMA,2025-09-12,6215.0,6562.0,6211.0,6491.5,369375.0,257550.0,2025-09-30
NUVAMA,2025-09-15,6521.0,6572.5,6382.5,6473.5,142125.0,259800.0,2025-09-30
NUVAMA,2025-09-16,6499.0,6503.0,6398.5,6434.5,83325.0,270675.0,2025-09-30
NUVAMA,2025-09-17,6466.5,6466.5,6360.0,6422.5,133650.0,308775.0,2025-09-30
NUVAMA,2025-09-18,6437.0,6543.0,6360.0,6439.0,173100.0,326400.0,2025-09-30
NUVAMA,2025-09-19,6468.0,6507.5,6431.0,6454.0,54525.0,310650.0,2025-09-30
NUVAMA,2025-09-22,6453.5,6454.0,6279.5,6313.0,105675.0,345300.0,2025-09-30
NUVAMA,2025-09-23,6312.5,6329.0,6199.0,6267.0,63750.0,331500.0,2025-09-30
NUVAMA,2025-09-24,6239.0,6274.0,6154.5,6192.0,74250.0,332400.0,2025-09-30
NUVAMA,2025-09-25,6156.0,6235.0,6043.5,6060.0,110550.0,303300.0,2025-09-30
NUVAMA,2025-09-26,6112.5,6281.0,6033.0,6138.0,257400.0,251250.0,2025-09-30
NUVAMA,2025-09-29,6138.0,6274.0,6099.5,6258.5,169125.0,248850.0,2025-10-28
NUVAMA,2025-09-30,6268.5,6329.0,6230.0,6288.5,289725.0,323100.0,2025-10-28
NUVAMA,2025-10-01,6271.0,6489.5,6252.0,6481.5,146775.0,334950.0,2025-10-28
NUVAMA,2025-10-03,6509.0,6759.5,6509.0,6709.5,313950.0,353850.0,2025-10-28
NUVAMA,2025-10-06,6717.5,6898.0,6656.5,6880.0,181275.0,328650.0,2025-10-28
NUVAMA,2025-10-07,6920.0,6985.0,6829.5,6938.0,103350.0,321075.0,2025-10-28
NUVAMA,2025-10-08,6976.5,7035.5,6883.0,6994.0,121500.0,294600.0,2025-10-28
NUVAMA,2025-10-09,6975.5,7131.0,6937.0,7118.0,109575.0,312675.0,2025-10-28
NUVAMA,2025-10-10,7130.5,7294.0,7091.0,7194.5,108525.0,317400.0,2025-10-28
NUVAMA,2025-10-13,7165.5,7242.0,7105.5,7186.5,121125.0,331200.0,2025-10-28
NUVAMA,2025-10-14,7151.5,7282.0,7094.0,7125.0,88200.0,326250.0,2025-10-28
NUVAMA,2025-10-15,7148.0,7237.0,7064.5,7200.0,92250.0,347475.0,2025-10-28
NUVAMA,2025-10-16,7236.0,7269.0,7159.0,7198.5,41700.0,340950.0,2025-10-28
NUVAMA,2025-10-17,7133.5,7192.0,6958.0,6974.0,102525.0,330450.0,2025-10-28
NUVAMA,2025-10-20,7024.0,7062.0,6863.0,7001.0,105000.0,318975.0,2025-10-28
